lang,layer,consistency_spearman,consistency_kendall,consistency_precision@k,consistency_jaccard@k,consistency_rbo
ru,layer_0,0.9918300653594772,0.96078431372549,0.4803921568627451,0.46296296296296297,0.3941974594948099
it,layer_0,0.9959861339171684,0.9682539682539684,0.43333333333333335,0.38888888888888884,0.36665693383590076
tr,layer_0,0.32738095238095233,0.30793650793650795,0.38888888888888884,0.3333333333333333,0.30894090949856307
es,layer_0,0.9952327865371343,0.9570207570207571,0.4666666666666666,0.43939393939393945,0.4334573649633902
pt,layer_0,1.0,1.0,0.35714285714285715,0.3,0.14118670238095238
fr,layer_0,0.9626642245782113,0.8711250435388367,0.4666666666666666,0.43939393939393945,0.45505317671784556
zh,layer_0,0.19792207792207797,0.1857397504456329,0.4609279609279609,0.42099567099567103,0.46200872179573427
ko,layer_0,0.9999999999999999,1.0,0.5,0.5,0.06499999999999999
en,layer_0,0.41513666287187234,0.33858808162957377,0.31999999999999995,0.25288211171820923,0.2773211670543981
hi,layer_0,0.7486329460013671,0.6545454545454547,0.48333333333333334,0.4556677890011223,0.4993524527782074
ja,layer_0,0.9950783204640147,0.9547698678133459,0.47333333333333333,0.4506172839506173,0.39626847867327325
de,layer_0,0.24307159030330577,0.15817493284375156,0.4064285714285714,0.3268297831205837,0.31795901876715094
